l,m,real,imag,magnitude
0,0,0.14196218534190624,0.0,0.14196218534190624
1,-1,0.34023136985200353,0.31697907565423744,0.46500873049221947
1,0,0.6243324116589556,0.0,0.6243324116589556
1,1,-0.34023136985200353,0.31697907565423744,0.46500873049221947
2,-2,0.49561500089257626,-0.6378466465330468,0.8077639343293324
2,-1,-0.15917862348678724,-0.4956654484292676,0.5205978015145043
2,0,0.24535441110883754,0.0,0.24535441110883754
2,1,0.15917862348678735,-0.49566544842926763,0.5205978015145045
2,2,0.4956150008925765,0.6378466465330469,0.8077639343293325
3,-3,-0.6653135350805045,0.7344761219929564,0.9910082107324489
3,-2,0.07101458658861172,0.6437697414436996,0.6476747266235107
3,-1,0.09669468083886396,0.8206774707774916,0.8263542656417224
3,0,-0.24917976620598006,0.0,0.24917976620598006
3,1,-0.09669468083886391,0.8206774707774916,0.8263542656417224
3,2,0.07101458658861172,-0.6437697414436997,0.6476747266235108
3,3,0.6653135350805045,0.7344761219929564,0.9910082107324489
4,-4,-0.8133084276163143,0.4225588469867881,0.916529638145175
4,-3,1.0985771069910981,-0.1522670729017368,1.10907931253585
4,-2,0.6241150293085151,-0.460162551592671,0.7754154652165807
4,-1,-0.1549917460959941,-0.38545913183843855,0.4154529861194018
4,0,0.03473337650430978,0.0,0.03473337650430978
4,1,0.15499174609599403,-0.3854591318384385,0.41545298611940173
4,2,0.6241150293085151,0.4601625515926708,0.7754154652165806
4,3,-1.0985771069910983,-0.15226707290173694,1.1090793125358502
4,4,-0.8133084276163143,-0.4225588469867882,0.916529638145175
5,-5,0.5634868050913568,0.2705699602166676,0.6250803811380692
5,-4,0.855231083819185,-0.4876841009089041,0.9845079933702235
5,-3,-0.6863590645529439,1.3811160973900127,1.542261469389614
5,-2,-0.09098896596336736,0.17211383453798618,0.19468478103450232
5,-1,0.09335627622715692,0.4223580261844772,0.4325525362235769
5,0,0.5938963623844338,0.0,0.5938963623844338
5,1,-0.09335627622715689,0.4223580261844772,0.4325525362235769
5,2,-0.09098896596336739,-0.1721138345379863,0.19468478103450243
5,3,0.6863590645529439,1.3811160973900127,1.542261469389614
5,4,0.8552310838191851,0.48768410090890424,0.9845079933702237
5,5,-0.5634868050913567,0.27056996021666757,0.6250803811380691
6,-6,-0.02814567232174617,0.48585386835775585,0.4866684294965502
6,-5,0.05875259319203038,-0.3675952476238423,0.3722608403826841
6,-4,-0.7253507412502378,0.1651274960376835,0.7439091260227586
6,-3,0.09633953286455055,-0.5538343912113458,0.5621510815439226
6,-2,-0.089176556439074,0.169050155743424,0.19112931061249414
6,-1,-0.1181463847544005,0.2879021906006322,0.3112012846746902
6,0,-0.15109343008349763,0.0,0.15109343008349763
6,1,0.11814638475440052,0.2879021906006322,0.3112012846746902
6,2,-0.08917655643907403,-0.16905015574342402,0.19112931061249416
6,3,-0.09633953286455056,-0.5538343912113458,0.5621510815439226
6,4,-0.7253507412502378,-0.1651274960376835,0.7439091260227586
6,5,-0.05875259319203049,-0.3675952476238423,0.3722608403826841
6,6,-0.028145672321746137,-0.48585386835775574,0.4866684294965501
7,-7,0.7638183799132998,0.27827007537927295,0.8129285038334947
7,-6,-1.0388824318559906,-0.1266129981541609,1.046569423650721
7,-5,0.7838525272899122,0.06717078099738273,0.786725300443923
7,-4,0.014254031854453736,0.491584381371612,0.49179099364731993
7,-3,0.3076765186174234,0.1397012431331751,0.3379072024113901
7,-2,0.3654792310513629,-0.08556001765601175,0.37536060655214276
7,-1,-0.12268053635991141,-0.3777627169989366,0.3971840686079619
7,0,1.4443782893441652,0.0,1.4443782893441652
7,1,0.12268053635991145,-0.3777627169989366,0.3971840686079619
7,2,0.3654792310513629,0.08556001765601166,0.37536060655214276
7,3,-0.3076765186174235,0.13970124313317503,0.33790720241139016
7,4,0.014254031854453751,-0.4915843813716121,0.49179099364732004
7,5,-0.7838525272899122,0.06717078099738276,0.786725300443923
7,6,-1.0388824318559906,0.1266129981541609,1.046569423650721
7,7,-0.7638183799132998,0.27827007537927295,0.8129285038334947
8,-8,0.6935964915422994,-0.27978054928245794,0.74789922371706
8,-7,-1.0215788712286578,-0.42441617348773086,1.1062334647165517
8,-6,0.20836024842886222,0.4204724451395548,0.4692665236802782
8,-5,0.07864709522011967,0.005315910520934437,0.07882654686860989
8,-4,0.17348849766198704,-0.1925639753382385,0.2591893968106701
8,-3,-0.6146268219812524,0.2076358922867085,0.6487517198932669
8,-2,-0.5689019033353149,0.0016482731314477654,0.5689042910919725
8,-1,0.20670365386968245,0.05244451613237724,0.21325296667440916
8,0,-0.32071556500404985,0.0,0.32071556500404985
8,1,-0.20670365386968254,0.05244451613237714,0.21325296667440924
8,2,-0.5689019033353149,-0.0016482731314477225,0.5689042910919725
8,3,0.6146268219812525,0.2076358922867085,0.648751719893267
8,4,0.17348849766198704,0.1925639753382385,0.2591893968106701
8,5,-0.07864709522011958,0.005315910520934463,0.07882654686860979
8,6,0.20836024842886208,-0.4204724451395546,0.46926652368027805
8,7,1.0215788712286578,-0.42441617348773086,1.1062334647165517
8,8,0.6935964915422994,0.27978054928245805,0.74789922371706
9,-9,0.04780312297032035,-0.6333594824632003,0.6351609029149767
9,-8,-0.5534291631840647,1.1012336999737964,1.2324769777243676
9,-7,1.3056892169433185,0.46894765380758907,1.3873486343575285
9,-6,-0.7636080567913232,0.7576697878798836,1.0757140753297636
9,-5,-0.17385342145312582,-0.8686616681220932,0.8858883145270716
9,-4,-0.07262505532716594,0.30741403143387785,0.31587621845226516
9,-3,0.42226313770896706,-0.49873081939610464,0.6534818954518419
9,-2,0.13052092447595792,-0.4088587634064271,0.4291866728362979
9,-1,-0.250628316331698,-0.27637512631818706,0.37309216474573076
9,0,0.22103477292271534,0.0,0.22103477292271534
9,1,0.25062831633169813,-0.27637512631818706,0.3730921647457309
9,2,0.13052092447595792,0.4088587634064271,0.4291866728362979
9,3,-0.42226313770896706,-0.4987308193961046,0.6534818954518419
9,4,-0.0726250553271659,-0.30741403143387763,0.31587621845226493
9,5,0.17385342145312577,-0.8686616681220931,0.8858883145270715
9,6,-0.7636080567913232,-0.7576697878798837,1.0757140753297638
9,7,-1.3056892169433185,0.4689476538075888,1.387348634357528
9,8,-0.5534291631840647,-1.1012336999737964,1.2324769777243676
9,9,-0.04780312297032035,-0.6333594824632003,0.6351609029149767
10,-10,-0.016738549215640372,-0.3550030885163202,0.3553974843551522
10,-9,-0.4653169617819665,1.1550633880690557,1.2452675637707609
10,-8,0.9023847861245318,-0.9253458081223798,1.2925026757568732
10,-7,-0.3369989770272308,-0.28523981382164176,0.44150884691748243
10,-6,-0.28080217792776646,-0.8326593783529045,0.8787328965550467
10,-5,0.14009854480670839,0.17596244472105832,0.224923062866325
10,-4,0.03278698942845927,0.5642199935930117,0.5651718215249942
10,-3,-0.19821038096974525,0.047382518470276795,0.20379513777506486
10,-2,-0.033977364369877174,0.31804977491279157,0.3198595326258087
10,-1,-0.12245039847270384,0.05324736189135432,0.13352670757010673
10,0,0.011939773413791587,0.0,0.011939773413791587
10,1,0.12245039847270384,0.053247361891354233,0.13352670757010673
10,2,-0.03397736436987717,-0.31804977491279157,0.3198595326258087
10,3,0.19821038096974525,0.04738251847027685,0.20379513777506486
10,4,0.032786989428459215,-0.5642199935930117,0.5651718215249942
10,5,-0.14009854480670833,0.17596244472105835,0.22492306286632496
10,6,-0.28080217792776646,0.8326593783529045,0.8787328965550467
10,7,0.3369989770272308,-0.28523981382164176,0.44150884691748243
10,8,0.9023847861245319,0.9253458081223798,1.2925026757568732
10,9,0.4653169617819665,1.1550633880690557,1.2452675637707609
10,10,-0.016738549215640403,0.3550030885163202,0.3553974843551522
11,-11,-0.4646444916067779,-0.3254560155566061,0.5672883937139054
11,-10,0.5304448613435372,0.7777352115049778,0.9414052316300654
11,-9,-0.2544252390784695,-1.2256092413648352,1.2517388764430954
11,-8,0.8257393738757789,0.7284639125933647,1.1011381318978999
11,-7,-0.03924350603368992,0.7658737454905763,0.766878508498954
11,-6,0.6082085530488055,0.3231599008696432,0.6887306915854696
11,-5,-0.3729028529182997,0.19065798336431755,0.41881619397434416
11,-4,0.005774022936053958,-0.5747977443084203,0.5748267445090861
11,-3,0.3134234084161048,0.08830192765847586,0.3256247278254081
11,-2,-0.6174862115607643,-0.007375247517455272,0.6175302549216587
11,-1,0.16089897995437966,0.021980355124909597,0.1623934043050302
11,0,-0.08357133012310794,0.0,0.08357133012310794
11,1,-0.16089897995437968,0.021980355124909593,0.16239340430503021
11,2,-0.6174862115607641,0.007375247517455245,0.6175302549216585
11,3,-0.3134234084161049,0.0883019276584758,0.3256247278254082
11,4,0.005774022936053911,0.5747977443084205,0.5748267445090862
11,5,0.3729028529182997,0.19065798336431755,0.41881619397434416
11,6,0.6082085530488055,-0.32315990086964325,0.6887306915854696
11,7,0.039243506033689785,0.7658737454905763,0.766878508498954
11,8,0.8257393738757791,-0.7284639125933647,1.1011381318978999
11,9,0.2544252390784696,-1.225609241364835,1.2517388764430952
11,10,0.5304448613435372,-0.7777352115049777,0.9414052316300653
11,11,0.4646444916067779,-0.3254560155566061,0.5672883937139054
12,-12,-0.5659339682052822,0.015481912925046614,0.5661456932596026
12,-11,0.8562024938265157,0.9301662883615154,1.264235751131482
12,-10,-0.34714950304345943,-0.9851117723201261,1.0444893400255557
12,-9,-0.6325552913785923,0.6574487126438076,0.9123404005129092
12,-8,-0.4222233758248389,-0.6338225351903611,0.7615796643871604
12,-7,0.26124160022269566,0.0028578184623462024,0.26125723112151067
12,-6,-0.4365846871249956,-0.03463768020697181,0.4379565708174165
12,-5,0.0014670405377916016,-0.215609610907294,0.21561460183284026
12,-4,-0.08772157750684045,0.08319218224099437,0.12089670941058502
12,-3,0.08537595384469356,0.17180662869731755,0.1918503874357026
12,-2,0.4553393513021548,-0.18447802913081665,0.49129020759247544
12,-1,-0.019480777335489398,0.015480385939828648,0.024882584963000966
12,0,0.1645951901111447,0.0,0.1645951901111447
12,1,0.019480777335489426,0.015480385939828636,0.02488258496300098
12,2,0.4553393513021548,0.18447802913081665,0.49129020759247544
12,3,-0.08537595384469354,0.17180662869731753,0.19185038743570257
12,4,-0.08772157750684045,-0.08319218224099446,0.12089670941058508
12,5,-0.0014670405377915816,-0.21560961090729394,0.2156146018328402
12,6,-0.4365846871249956,0.034637680206971735,0.4379565708174165
12,7,-0.26124160022269566,0.002857818462346237,0.26125723112151067
12,8,-0.4222233758248389,0.633822535190361,0.7615796643871603
12,9,0.6325552913785923,0.6574487126438076,0.9123404005129092
12,10,-0.3471495030434593,0.9851117723201264,1.044489340025556
12,11,-0.8562024938265157,0.9301662883615154,1.264235751131482
12,12,-0.5659339682052822,-0.015481912925046592,0.5661456932596026
13,-13,-0.31876325457816435,0.5055672845129822,0.5976690485871711
13,-12,0.906399067020567,-0.47191855610424654,1.0218935327573373
13,-11,-1.0648752454308394,-0.035669991212589666,1.0654724945321192
13,-10,1.090583208986084,0.6373095439298886,1.263144960211023
13,-9,-0.4526183525416909,0.10013954570474667,0.4635636975341226
13,-8,0.8114255067074472,-0.6910431943749199,1.065810512908993
13,-7,-0.2671778491722398,0.7183198010728744,0.7663989429152926
13,-6,0.2514618313810838,-0.7779259655740188,0.8175584753128049
13,-5,0.47028292273986333,0.5720878986621102,0.7405745007873125
13,-4,-0.10154987348058406,-0.1564230577097243,0.18649544173298813
13,-3,-0.14915638243085277,-0.30226344146596457,0.3370620335586721
13,-2,-0.04377571236452522,0.25442620929473864,0.2581646934983787
13,-1,-0.20989251434325204,0.3905052108061754,0.4433386823232412
13,0,0.3890606899087682,0.0,0.3890606899087682
13,1,0.209892514343252,0.39050521080617534,0.44333868232324114
13,2,-0.04377571236452529,-0.2544262092947385,0.25816469349837856
